model,k,hits_at_k,precision_at_k
popularity,3,0.027584028636854156,0.00919467621228472
popularity,5,0.03594521797875047,0.007189043595750094
popularity,10,0.05658059818036656,0.005658059818036656
popularity,25,0.1116521464480299,0.004466085857921197
popularity,50,0.16677633599171776,0.0033355267198343554
