model,k,hits_at_k,precision_at_k
popularity,3,0.01951971512940768,0.00650657170980256
popularity,5,0.027075733889178392,0.005415146777835679
popularity,10,0.03886572867813097,0.003886572867813097
popularity,25,0.07972902553413236,0.0031891610213652943
popularity,50,0.12522798332464827,0.002504559666492965
