model,k,hits_at_k,precision_at_k
Markov Chain,3,0.2374647961466586,0.0791549320488862
Markov Chain,5,0.27548057098237394,0.05509611419647479
Markov Chain,10,0.32448959896121216,0.03244895989612122
Markov Chain,25,0.4140060888409268,0.016560243553637072
Markov Chain,50,0.5004430640732065,0.010008861281464129
