model,k,hits_at_k,ncdg_at_k
decoder_bce_50_15,10,0.08483072916666666,0.009804876976543003
decoder_bce_50_15,25,0.15276692708333334,0.007498555941209715
decoder_bce_50_15,50,0.22626953125,0.00582162027033822
