model,k,hits_at_k,ncdg_at_k
decoder_ce_50_15,10,0.08313802083333334,0.009500248887990084
decoder_ce_50_15,25,0.14979383680555555,0.007289683089927874
decoder_ce_50_15,50,0.22251519097222222,0.005678556109584557
